বাংলা,চট্টগ্রাম
এটি না আরেকটা দাও নেই,ইয়েন ন আরেক্কান দ
তোমার মতামত কি নেই,তোঁয়ার মথামথ কি নাই
পরে আর কথা বলবো না,ফরে আর হথা ন হইয়্যুম
আজকে থেকে রাখবো না,আজিয়ে তুন ন রাইক্ষুম
ভাল খোদাহাফেজ তাহলে,গম খোদাহাফেজ তঁইলে
আমার প্রশ্নের জবাব দিবি,অ্যাঁর ফশ্নর জোয়াব দিবি
বলতে বলতে বার টা খেতে খেতে একটা,হইতে হইতে বার টা খাইতে খাইতে উজ্ঞো
বন্ধু গুলোকে মোবাইল দিবে,বন্ধু অক্কলরে মোবাইল দিতি
কত বড় মাছ ধরেছি দেখেছে,হতো ডঁর মাছ দয়্যজ্জি দেইক্কে
আপু কিরণ মালা নিবেন না,আফা কিরণ মালা ন লইবেন
ঘুষি মেরে দাঁত ফেলে দিব,ঘুষি মারি দাঁত ফেলায় দিয়্যুম
সবাই কম্বল নিয়ে ঘুমিয়ে যাবে,বেজ্ঞুনে হম্বল লই ঘুম যাইব্যু
যখন আমি নতুন মোবাইল চেয়েছি,যেত্তে অ্যাঁই নয়া মোবাইল চাইলাম
ধরবি না কেউ,ন দরিবি কেউ
আস্তে ছুড়ে মারি,আস্তে মেলা মারি
লাথি দিয়ে লাথি দিয়ে ব্যবহার করি না,লাথি দি লাথি দি ব্যবার ন গরি
কালকে তোর বিয়ে,হালিয়্যে তুঁর বিয়া
আর একটা বছর পরে করো না,আর উজ্ঞো বছর বাদে গরো না
রাত শেষ কেউ আমাকে বাচাও,রাইত শেষ কেউ অ্যাঁরে বাচাও
তার কথায় লাফ মারবি না,তার হথায় ফাল ন মারিবি
ঘরের গরু ঘুলির খড় খায়,ঘরর গরু ঘাডার খের হায়
ঘরের ভাত খেয়ে পরের মহিষ চরানো,ঘরর ভাত হায় ফরর মৈষ চরান
ঘরের ইঁদুর বেরা কাটে,ঘরর উন্দুরে বেরা কাডে
কেউ টের পায় না,কেউ টের ন পায়
ঘাটে নৌকা থাকে,ঘাডত নাও থাহে
মেজ ছেলে হাটে যাবে,মাইঝ্যা ফোয়া হাডত যাইব্যু
ঘি কিসে পড়ল এখন,ঘি কিওত পইজ্জে এহন
ডালে কিছু পড়ল,ডাইলঅত কিসু পইজ্জে
ঘুষের টাকা নেই আমার তোমাদের মত,ঘুষর টিঁয়া নাই অ্যাঁর তোঁয়ারার নান 
সারারাতে পুড়িয়ে মারে,গুডারাইত পোরাই মারে
জামাই বলেছিল ভূত,জামাই হইয়্যিল ভূত
তুমি কি ঘরে যেয়ে কাথার ভিতরে থাকিস,তুই কি ঘরত যাই কেথার বিতুরে থাকস
করতে পারে না একটা,গরিত ন ফারে উজ্ঞো
ঝড়ে কাক বক মরে,ঝড়ত কাউয়া বগা মরে
কাক চিনে কাঁঠাল চিনে না,কাউয়া চিনে কাট্টল ন চিনে
কাক বুঝে না দুঃখ,কাউয়া ন বুজে দুক
