SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
168,ইয়ার বেশি হারাপ লাগের,আমার বউত খারাপ লাগের,মোর মেলা খারাপ লাগছে,আমার অনেক খারাপ লাগছে,I feel very bad.
169,ইয়ার হারাপ লাগের,আমার খারাপ লাগের,মোর খারাপ লাগছে,আমার খারাপ লাগছে,I feel bad.
170,বেশি হারাপ লাগের,বউত খারাপ লাগের,মেলা খারাপ লাগছে,অনেক খারাপ লাগছে,Feeling very bad.
171,হারাপ লাগের,খারাপ লাগের,খারাপ লাগছে,খারাপ লাগছে,Feeling bad.
172,তুই হন স্কুলত পর,তুমি কোন স্কুলো পড়ো ,তুমি কোন স্কুলে পড়ো,তুমি কোন স্কুলে পড়,Which school do you study in?
173,হন স্কুলত পর,কোন স্কুলো পড়ো,কোন স্কুলে পড়ো,কোন স্কুলে পড়,Which school do you study?
174,আর বাড়ি চাঁদপুর ,আমরার বাড়ি চাঁদপুর ,আমাগো বাড়ি চাঁদপুর,আমাদের বাড়ি চাঁদপুর,Our home is in Chandpur.
175,আর বাড়ি যশোরত ,আমরার বাড়ি যশোর ,আমাগো বাড়ি যশোর,আমাদের বাড়ি যশোর ,Our home is in Jessore.
176,তুই হোন্ডা যাইবে,তুমি কই যাও ,তুমি কোম্মে যাও,তুমি কোথায় যাও,Where are you going?
177,হোন্ডা যাইবে,কই যাও,কোম্মে যাও,কোথায় যাও,Where are you going?
178,ইতাত্তুন বই ফোয়ারত এফোডাও গম নো লাগে,তার বই পর্তে এক্দম অউ ভালা লাগে না,হের বই পড়তে এক্কালেই ভালো লাগে না,তার বই পর্তে এক্দমি ভাল লাগে না,He doesn’t like studying at all.
179,তোয়ার ফোরালেহা গরীরত এফফোডাও গম নো লাগে?,আফ্নার কিতা পরালেখা কর্তে এখদম ভালা লাগে নানি?,তোর পড়ালেহা করতে এক্কালেও ভালো লাগে না?,তোমার কি পড়াশুনা একদমই ভালো লাগে না?,Do you not like studying at all?
180,ফোরালেহা গরীরত এফফোডাও গম নো লাগে?,পরালেখা কর্তে এখদম ভালা লাগে নানি?,পড়ালেহা করতে এক্কালেও ভালো লাগে না?,পড়াশুনা একদমই ভালো লাগে না?,Don’t like studying at all?
181,তোয়ার ফোরালেহা গরীরত গম নো লাগে?,আফ্নার কিতা পরালেখা ভালা লাগে নানি?,তোর পড়ালেহা করতে ভালো লাগে না?,তোমার কি পড়াশুনা ভালো লাগে না?,Don’t you like studying?
182,তোয়ার ফোরালেহা গরীরত  গম লাগে?,আফ্নার কিতা পরালেখা ভালা লাগে?,তোর পড়ালেহা করতে এক্কালেও ভালো লাগে?,তোমার কি পড়াশুনা ভালো লাগে ?,Do you like studying?
183,গম নো লাগে?,ভালা লাগে নানি?,ভালো লাগে না?,ভালো লাগে না?,Don’t like?
184,এই কাজত যাইত চাই,আমি কামো যাইতাম চায়,মুই কামে যাইতে চাই,আমি কাজে যেতে চাই,I want to go to work.
185,কাজত যাইত ন চাই,কামো যাইতাম চায়না,কামে যাইতে চাই না,কাজে যেতে চাই না,Don’t want to go to work.
186,যাইত ন চাই,যাইতাম চায়না,যাইতে চাই না,যেতে চাই না,Don’t want to go.
187,ন চাই, চায়না,চাই না,চাই না,Don’t want.
188,কাজত যাইত চাই,কামো যাইতাম চায়,কামে যাইতে চাই,কাজে যেতে চাই,Want to go to work.
189,যাইত চাই,যাইতাম চায়,যাইতে চাই,যেতে চাই,Want to go.
190,কলম ইবা লো ,আফনে ওউ কলম ওগু লৌকা,আমনে এই কলমদা নেন,আপনি  এই কলম টি নিন,Take this pen.
